tag,role,core,readers,lines,iters,min,p50,p95,p99,max,avg
lines=1,writer,0,3,1,20000,1322,1618,1898,2192,265584,1684.2
lines=1,reader,32,3,1,20000,552,842,890,896,7482,768.2
lines=1,reader,33,3,1,20000,552,842,892,898,10078,766.9
lines=1,reader,34,3,1,20000,548,842,890,894,261514,782.1
lines=2,writer,0,3,2,20000,1210,1636,1792,2178,265898,1661.2
lines=2,reader,32,3,2,20000,510,680,742,750,7712,666.6
lines=2,reader,33,3,2,20000,510,684,742,750,8896,676.5
lines=2,reader,34,3,2,20000,512,676,742,748,261502,659.8
lines=4,writer,0,3,4,20000,1498,2214,2800,3116,274844,2286.6
lines=4,reader,32,3,4,20000,590,1140,1340,1522,270842,1111.0
lines=4,reader,33,3,4,20000,590,1146,1438,1744,16922,1131.8
lines=4,reader,34,3,4,20000,594,1138,1398,1602,15916,1105.6
lines=8,writer,0,3,8,20000,1622,2256,2814,3206,27814,2320.7
lines=8,reader,32,3,8,20000,676,1264,1350,1680,15238,1193.9
lines=8,reader,33,3,8,20000,672,1268,1450,1632,17252,1213.8
lines=8,reader,34,3,8,20000,684,1270,1526,1668,15188,1220.1
lines=16,writer,0,3,16,20000,2234,4604,5900,7242,88920,4536.9
lines=16,reader,32,3,16,20000,1164,3472,4650,5784,88120,3350.8
lines=16,reader,33,3,16,20000,1000,3476,4632,5778,12706,3347.7
lines=16,reader,34,3,16,20000,1320,3462,4646,5788,11440,3344.9
lines=32,writer,0,3,32,20000,2282,2998,7192,8220,66174,3915.8
lines=32,reader,32,3,32,20000,1348,1824,6058,7002,65238,2729.2
lines=32,reader,33,3,32,20000,1386,1802,6064,7006,65038,2740.6
lines=32,reader,34,3,32,20000,1382,1834,6074,7018,65216,2764.3
lines=64,writer,0,3,64,20000,3204,3988,13344,15150,34818,6401.2
lines=64,reader,32,3,64,20000,2174,2708,12128,13874,26642,5109.9
lines=64,reader,33,3,64,20000,2202,2742,12134,13896,26682,5158.1
lines=64,reader,34,3,64,20000,2158,2746,12136,13868,26498,5160.8
lines=128,writer,0,3,128,20000,4600,5592,39650,42884,64666,15849.3
lines=128,reader,32,3,128,20000,3574,4304,38520,41682,51534,14634.1
